831,244,3
401,342,3
199,644,1
677,1468,2
864,568,1
500,1068,4
858,913,2
894,197,5
207,841,3
880,1567,3
357,1081,2
377,57,5
533,956,5
242,345,3
515,1154,3
331,1133,3
252,409,5
790,622,2
398,1240,4
613,173,2
597,1260,4
589,1378,4
95,1139,4
398,1665,2
375,1520,4
748,325,2
876,1064,5
608,731,2
630,213,4
278,1205,5
153,1366,3
762,1677,4
276,254,4
434,207,4
914,525,3
583,622,4
273,37,1
462,406,5
913,906,1
510,481,4
518,110,4
238,1501,4
106,962,2
913,680,3
212,1533,5
798,1330,5
17,860,5
162,51,5
657,350,5
11,447,3
865,1575,4
739,660,2
644,1523,4
487,13,5
615,1060,5
606,518,2
792,780,4
434,1219,5
163,637,5
295,477,4
858,400,3
773,1564,1
106,1220,4
124,1599,3
798,1436,4
390,415,5
589,865,1
351,178,5
283,1501,5
484,622,4
247,1538,4
75,1459,3
226,891,1
798,514,3
790,272,4
821,772,2
11,1028,4
574,844,3
691,1011,3
396,885,5
276,1321,5
95,885,3
276,0,5
913,1268,3
398,1139,5
824,235,4
384,1454,5
163,1542,3
497,419,4
748,284,4
857,1528,4
585,992,4
792,388,4
356,1480,5
176,577,2
597,903,5
357,777,4
357,799,3
47,1299,4
714,1061,4
633,97,3
267,799,5
377,453,4
691,145,3
888,1139,4
864,516,5
0,330,4
286,1101,5
278,858,5
521,1665,4
806,777,3
163,727,5
342,640,5
553,1394,4
509,1139,4
267,988,4
286,568,4
357,1130,3
356,936,3
744,3,4
896,344,4
534,417,3
500,512,4
214,506,5
152,1311,5
790,1619,2
606,506,5
824,896,5
0,594,3
261,913,3
515,1215,3
777,757,3
250,166,4
691,850,3
888,346,3
0,280,3
615,1061,5
377,1320,5
677,1421,4
510,1455,4
617,1586,1
792,622,4
790,1461,2
777,174,2
124,1021,2
124,1415,4
677,470,2
207,178,5
748,526,2
183,681,2
95,998,4
283,1670,3
407,1308,3
29,1371,4
95,419,3
790,1581,4
278,757,4
657,1038,3
518,1378,4
416,1556,4
94,178,3
331,1436,4
847,1222,5
241,3,3
267,1677,5
929,1444,2
163,41,3
889,1063,2
658,1556,4
820,1319,4
190,350,4
935,1548,4
175,382,3
207,1556,2
214,97,4
183,993,4
356,629,1
464,1581,5
574,414,4
500,713,3
356,418,1
523,1519,4
391,868,3
935,1165,2
657,732,4
124,1677,4
77,712,3
510,540,4
824,670,4
533,489,5
597,516,4
847,1397,5
913,1523,3
896,1367,3
616,1320,4
876,516,4
278,1246,3
691,1010,3
77,246,2
616,1669,4
226,919,3
239,33,4
480,237,4
606,426,4
508,670,3
124,530,4
639,1308,2
226,181,3
477,49,2
295,858,5
158,765,5
865,1400,2
515,415,3
273,729,4
416,1550,4
207,850,4
767,168,3
775,265,5
336,159,5
525,1428,2
914,683,5
509,1071,4
496,1205,4
267,1517,4
343,1034,5
790,13,3
525,1631,4
553,186,1
95,681,4
117,56,5
29,808,4
880,681,5
422,750,3
331,236,5
564,269,1
762,1231,4
913,522,3
207,1365,2
790,487,2
855,1063,2
792,134,4
84,716,4
377,871,4
533,1646,5
7,516,1
11,1527,4
331,646,2
357,1578,4
477,459,3
226,1397,4
762,793,4
751,538,5
908,614,3
630,244,3
47,1330,3
356,1672,4
0,1107,4
692,1677,3
95,222,3
790,1268,3
331,1421,3
597,1321,5
458,762,5
935,246,2
935,382,2
523,712,4
451,265,5
496,1037,4
86,501,3
897,49,2
915,1592,4
935,29,1
762,893,4
28,855,5
613,1446,3
496,1040,4
273,594,2
579,227,4
876,1622,5
510,799,4
152,690,4
273,66,1
106,141,1
94,1304,4
29,899,3
615,352,3
377,1219,4
881,727,1
698,1110,5
295,1487,5
616,57,3
258,1677,4
247,708,5
760,443,1
732,1299,5
593,178,3
597,956,5
526,1319,4
824,1665,4
603,1523,2
356,1053,3
762,732,5
273,90,2
106,508,1
124,1250,3
480,1192,3
176,1321,5
675,1619,4
106,1251,4
345,1184,5
163,325,3
275,66,3
762,134,3
564,1602,5
748,757,3
428,890,4
318,845,5
345,796,5
603,1340,2
677,489,3
824,181,4
124,1613,5
564,1184,5
532,33,4
176,1459,2
224,1602,5
533,1501,5
330,626,5
886,1343,3
12,762,3
534,784,4
273,854,1
12,1622,3
480,1531,4
480,828,4
12,566,5
422,1110,3
896,1605,4
534,796,4
675,1063,2
762,1073,3
762,1194,3
307,1193,1
777,67,3
824,277,3
732,1638,3
375,1659,4
331,797,5
612,164,3
507,763,2
550,1642,5
574,472,4
913,382,4
362,804,1
630,316,3
384,1375,4
124,893,5
79,608,3
377,1321,2
84,410,5
267,948,4
391,415,4
226,885,3
375,347,4
681,855,3
470,342,4
615,1543,3
533,727,5
564,1114,5
5,1562,3
286,1264,4
286,113,3
409,361,5
258,73,3
824,640,3
792,345,3
477,712,4
343,71,2
817,1216,4
477,1472,2
95,1609,3
286,1534,4
207,72,4
929,583,2
896,1655,3
616,239,3
518,1018,3
900,566,3
470,758,4
183,1063,3
930,309,5
788,727,5
124,1592,2
790,926,3
613,643,4
375,1389,4
375,1439,4
29,977,5
896,913,4
935,1336,3
343,834,5
241,275,3
345,400,5
112,758,3
696,212,5
613,1494,3
362,1556,2
876,1467,1
29,1551,1
510,40,4
613,1243,3
258,1308,2
767,1007,3
608,1286,3
124,955,4
11,773,4
59,1409,3
239,943,5
58,768,5
677,955,3
356,930,4
183,1421,4
496,652,2
117,1114,5
574,556,2
68,1681,3
579,613,3
162,1102,4
681,157,4
762,1144,4
690,1260,3
226,1053,2
824,587,4
935,556,3
691,757,5
847,1351,5
278,901,2
124,777,4
615,243,5
175,1682,4
525,40,5
617,169,5
554,1417,3
847,477,4
675,1060,2
534,1459,4
355,893,4
273,340,1
398,1262,4
0,1485,4
106,347,3
351,483,5
273,440,2
597,1385,3
212,1520,5
888,683,3
888,528,4
900,850,4
226,130,3
124,997,3
847,768,4
377,1564,5
436,288,2
657,419,1
497,309,3
166,1132,2
458,525,4
29,1589,2
94,1488,2
0,1096,5
787,1139,5
106,377,2
517,993,4
558,516,4
855,0,4
507,1232,4
273,360,1
247,98,5
480,400,4
331,374,4
95,2,3
224,247,4
824,1426,2
86,1527,4
691,584,3
323,1194,4
331,1514,3
524,498,4
606,139,3
858,316,4
510,1638,3
933,354,3
486,0,4
29,1366,5
58,1670,5
908,1001,3
187,1023,4
606,457,5
487,890,4
434,1326,5
247,1599,4
95,1340,3
152,97,3
533,653,5
224,757,4
12,255,4
630,1390,2
124,885,4
500,1378,3
40,371,4
357,774,4
798,1191,2
422,822,5
630,947,3
497,859,3
226,1272,4
857,1668,3
28,858,4
331,1311,4
239,649,2
606,1268,3
66,199,2
436,1435,4
515,181,4
881,1482,3
896,665,2
193,1528,2
616,716,3
534,1433,1
896,1203,1
455,1551,3
417,1500,1
574,885,4
690,1210,4
117,768,2
568,992,4
881,608,3
913,485,4
913,1076,3
613,255,4
273,914,1
930,1212,1
691,1162,3
152,1116,5
518,1513,5
788,568,3
913,1030,3
375,178,4
187,4,4
96,335,4
935,536,2
68,1252,3
806,310,3
211,1175,4
273,939,1
897,1478,4
613,830,3
267,742,4
881,356,4
534,406,5
98,569,2
677,913,4
267,1390,3
583,992,3
207,1409,3
597,799,5
930,956,2
772,13,4
595,796,3
729,1101,3
356,838,2
762,1531,4
606,157,3
267,1488,2
375,720,3
615,822,3
896,492,4
616,1142,4
77,1570,3
508,1565,5
777,796,2
357,834,4
913,345,3
273,1570,1
488,1627,3
11,1551,4
851,73,4
728,1340,4
390,845,4
375,654,5
506,1257,2
29,1250,4
28,1191,3
824,943,3
241,1134,3
29,1041,1
124,1392,4
211,822,5
29,1304,4
355,1591,5
433,487,5
508,325,3
458,1285,5
286,487,2
824,1113,2
550,679,3
518,1107,4
199,1362,3
84,1530,3
777,911,1
356,1382,4
29,1205,1
880,1677,5
75,84,4
500,13,4
823,440,1
376,1063,1
927,1311,5
457,20,5
233,986,4
908,1589,4
518,1575,5
433,13,4
669,1216,3
798,312,1
124,44,1
913,129,4
677,1682,2
247,893,5
439,244,5
357,388,4
913,1614,4
86,1631,4
720,1428,4
824,415,3
595,1681,5
351,1638,5
508,1409,4
163,622,5
480,265,5
124,550,4
104,1390,4
639,626,1
721,1061,4
595,658,3
677,1210,4
63,668,4
510,1652,4
11,512,4
11,822,3
748,1367,3
613,517,3
914,956,5
68,808,2
436,1038,5
29,1184,2
616,630,3
152,1524,4
477,781,3
163,392,5
798,1188,2
792,899,4
886,1501,3
239,808,4
226,41,3
273,947,2
847,1428,1
226,297,2
295,103,5
798,321,4
305,1551,5
700,1574,5
391,1567,4
175,1590,1
59,305,3
881,1385,4
